,ward,borough,%_english_is_first_language_of_no_one_in_household_2011,median_house_price_2014,median_household_income_estimate_2012_13,male_life_expectancy_2009_13,female_life_expectancy_2009_13,%_area_that_is_open_space_2014,%_travel_by_bicycle_to_work_2011,turnout_at_mayoral_election_2012,crime_rate_2014_15,%_bame_2011,%_all_older_people_aged_65_2015,%_homes_with_good_access_to_nature,%_homes_with_deficiency_in_access_to_nature,female_life_expectancy_normalised,male_life_expectancy_normalised,median_household_income_estimate_2012_13_log
124,E05000149,Croydon,16.9,231000.0,31000.0,77.8,82.5,4.6,1.3,30.5,151.3,68.6,7.5,17.0,83.0,0.9798696552564264,0.975229156915487,10.341742483467284
125,E05000150,Croydon,1.5,375000.0,42660.0,81.8,88.1,56.8,0.9,39.4,34.9,15.4,21.7,100.0,0.0,1.0463820197344385,1.0253694734664116,10.661016992025342
126,E05000151,Croydon,2.4,361000.0,46610.0,79.9,83.4,17.1,0.9,34.5,46.7,25.2,16.4,48.0,52.0,0.9905591424046785,1.0015528231047226,10.749570389366786
127,E05000152,Croydon,6.5,250000.0,42260.0,80.1,82.6,19.1,1.3,36.3,57.3,31.3,12.6,58.0,42.0,0.9810573760506766,1.0040598389322686,10.651596291170048
128,E05000153,Croydon,13.7,236000.0,39130.0,79.9,82.0,17.5,0.9,29.8,215.9,48.7,10.3,32.0,68.0,0.9739310512851754,1.0015528231047226,10.574644715204458
129,E05000154,Croydon,4.1,220000.0,26720.0,77.7,82.1,22.9,0.3,23.7,61.8,34.4,10.2,100.0,0.0,0.9751187720794255,0.9739756490017139,10.193167627650581
130,E05000155,Croydon,2.8,260000.0,39770.0,82.5,84.8,61.3,0.6,38.2,70.7,24.6,18.2,100.0,0.0,1.0071872335241814,1.0341440288628236,10.590868138201737
131,E05000156,Croydon,3.0,340000.0,44160.0,80.4,82.8,39.6,1.2,35.3,35.9,23.2,15.8,91.0,9.0,0.9834328176391771,1.0078203626735882,10.695574680950976
132,E05000157,Croydon,3.0,245000.0,28770.0,77.1,80.2,31.2,0.3,24.1,70.0,23.7,13.1,100.0,0.0,0.9525520769886716,0.966454601519075,10.267088456545594
133,E05000158,Croydon,13.0,350000.0,36810.0,78.8,84.3,15.8,1.8,33.8,54.2,62.3,13.5,26.0,74.0,1.0012486295529304,0.9877642360532181,10.513524826373066
134,E05000159,Croydon,5.0,320000.0,44600.0,81.8,84.4,3.8,1.1,35.8,78.1,31.6,15.7,80.0,20.0,1.0024363503471805,1.0253694734664116,10.705489138008156
135,E05000160,Croydon,1.7,392500.0,47030.0,83.6,86.0,48.6,0.9,42.1,29.6,19.5,20.9,100.0,0.0,1.0214398830551839,1.0479326159143278,10.758540974939093
136,E05000161,Croydon,11.5,212997.5,31220.0,74.1,80.0,18.3,1.4,27.7,95.9,65.6,9.2,53.0,47.0,0.9501766354001712,0.9288493641058815,10.348814194069423
137,E05000162,Croydon,2.2,344000.0,45320.0,84.5,88.1,55.2,0.7,41.3,35.5,19.7,22.4,100.0,0.0,1.0463820197344385,1.0592141871382859,10.721503715141942
138,E05000163,Croydon,3.9,320000.0,39500.0,81.1,87.3,16.0,1.1,39.9,44.1,30.9,18.4,69.0,31.0,1.0368802533804367,1.0165949180699998,10.584055950889214
